    time   dayofyr        tmax        tmin         ppt     N2Oflux      NOflux     CH4oxid         NIT     CO2resp
 1959.0000   29    -9.38   -21.33     0.00       0.2934       1.0534       5.3386      20.4674    1668.8751
 1959.0000   30    -8.89   -19.33     0.02       0.2861       0.0000       5.5311      19.9621    1688.1549
 1959.0000   31    -0.98   -10.55     0.05       0.2815       0.0000       5.5737      19.4737    1712.7182
 1959.0834   32    -5.82   -17.55     0.00       0.2910       0.0000       5.5511      19.6711    1905.6034
 1959.0834   33   -12.92   -20.92     0.00       0.2754       0.0000       5.5252      19.1867    1903.7557
 1959.0834   34   -12.32   -19.94     0.00       0.2755       0.9880       5.3242      18.7217    1835.0439
 1959.0834   35    -8.83   -20.24     0.00       0.2763       0.9920       5.3187      18.2750    1788.0502
 1959.0834   36    -2.86   -20.64     0.00       0.2783       1.0023       5.3513      17.8470    1753.9848
 1959.0834   37    -2.84   -11.94     0.00       0.2811       1.0163       5.4979      17.4376    1756.2762
 1959.0834   38    -3.94   -19.08     0.00       0.2818       1.0222       5.4418      17.0440    1726.3208
 1959.0834   39   -17.80   -25.30     0.00       0.2792       1.0133       5.3074      16.6630    1667.6509
 1959.0834   40   -13.80   -24.33     0.09       0.2780       0.0000       5.5470      16.2959    1693.1744
 1959.0834   41   -17.26   -25.25     0.00       0.2771       0.0000       5.5419      15.9425    1707.8777
 1959.0834   42   -20.44   -30.13     0.00       0.2762       0.0000       5.5226      15.6023    1712.4669
 1959.0834   43   -14.95   -27.72     0.00       0.2755       0.0000       5.5372      15.2751    1720.9627
 1959.0834   44    -7.03   -23.76     0.00       0.2752       0.0000       5.5634      14.9607    1735.6490
 1959.0834   45     3.10   -12.07     0.00       0.2743       0.9925       5.5197      14.6580    1736.0781
 1959.0834   46    10.89    -0.91     0.00       0.2838       1.0374       5.8205      14.3742    1786.7443
 1959.0834   47    11.00    -1.67     0.00       0.2934       1.0847       5.9641      14.1080    1823.2442
 1959.0834   48    13.43     0.28     0.00       0.3030       1.1352       6.1561      13.8579    1863.0937
 1959.0834   49    11.65    -0.78     0.00       0.3108       1.1812       6.2824      13.6214    1885.8236
 1959.0834   50    12.98    -0.07     0.00       0.3195       1.2340       6.4507      13.3979    1908.2195
 1959.0834   51    12.20    -0.02     0.00       0.3271       1.2848       6.5918      13.1854    1921.9747
 1959.0834   52    10.52     0.72     0.00       4.8320      19.3209       6.7296      12.9825    1928.4078
 1959.0834   53     9.49    -2.36     0.00       4.1805      17.0308       6.8173      12.7149    1912.0292
 1959.0834   54     8.06    -4.04     0.00       0.3429       1.4241       6.9092      12.4645    1881.4988
 1959.0834   55    11.44    -4.68     0.00       3.0834      13.0877       7.0570      12.2842    1851.3192
 1959.0834   56     5.55    -6.00     0.00       0.3474       1.5033       7.1087      12.0101    1797.9699
 1959.0834   57     4.07    -5.99     0.00       0.3470       1.5313       7.1996      11.8356    1743.1752
 1959.0834   58     7.76    -3.09     0.36       0.2806       1.3667       6.5977      11.6416    1841.8936
 1959.0834   59     1.18    -3.14     0.43       0.2881       0.0000       6.5419      11.4252    1898.0181
 1959.1666   60     0.57    -5.89     0.00       0.2986       0.0000       6.5168      12.4145    1739.2853
 1959.1666   61     1.36   -13.38     0.00       0.2729       0.0000       6.1256      12.1979    1751.7480
 1959.1666   62     1.93   -12.25     0.00       0.2750       0.9966       5.8718      11.9943    1769.4023
 1959.1666   63     6.09    -7.82     0.00       0.2671       0.9763       6.0559      11.8009    1783.7134
 1959.1666   64     6.61    -6.95     0.00       0.2730       1.0080       6.1909      11.6183    1796.9435
 1959.1666   65     2.22    -8.65     0.00       0.2790       1.0423       6.2590      11.4457    1787.8066
 1959.1666   66     0.87   -10.42     0.00       0.2850       1.0773       6.3340      11.2823    1767.8192
 1959.1666   67     4.52    -9.19     0.00       0.2924       1.1211       6.4878      11.1284    1759.2452
 1959.1666   68     5.70    -6.42     0.00       0.2998       1.1671       6.6478      10.9830    1756.7742
 1959.1666   69     6.99    -7.15     0.00       0.3066       1.2144       6.7797      10.8448    1747.7065
 1959.1666   70     4.05    -5.45     0.00       0.3121       1.2585       6.8921      10.7120    1730.2939
 1959.1666   71    14.60    -3.45     0.00       0.3287       1.3685       7.2190      10.5908    1734.3181
 1959.1666   72     9.43    -5.55     0.00       2.7431      11.6918       7.2971      10.2992    1697.3698
 1959.1666   73     8.41    -4.52     0.00       2.2946      10.0086       7.4307      10.0756    1657.5924
 1959.1666   74    14.84    -1.17     0.00       1.8549       8.3777       7.7325       9.8614    1623.7438
 1959.1666   75    10.43    -4.40     0.00       0.3357       1.5536       7.7933       9.4674    1554.3923
 1959.1666   76    18.26    -3.60     0.00       0.3394       1.6370       8.1087       9.2616    1477.4542
 1959.1666   77     3.56    -7.86     0.00       0.3203       1.5635       7.9697       8.8470    1381.5236
 1959.1666   78     6.00    -6.39     0.00       0.3142       1.5521       8.0815       8.7421    1331.9132
 1959.1666   79     6.64    -8.03     0.00       0.3101       1.5498       8.1442       8.6356    1289.2686
 1959.1666   80     6.23    -4.03     0.00       0.3071       1.5486       8.2501       8.5292    1263.3649
 1959.1666   81     9.25    -6.98     0.00       0.3052       1.5609       8.3486       8.3531    1225.8117
 1959.1666   82    10.76    -6.23     0.00       0.3017       1.5675       8.4743       8.1737    1183.2024
 1959.1666   83    17.33    -0.75     0.17       0.3026       1.8770       8.5424       7.9797    1352.0263
 1959.1666   84    13.64    -0.84     0.00       0.3091       1.5622       8.6219       7.5851    1328.3524
 1959.1666   85     9.03    -5.71     0.00       0.3000       1.5326       8.5849       7.2170    1271.7438
 1959.1666   86     9.32    -3.73     0.00       0.2949       1.5234       8.6791       7.0597    1231.6167
 1959.1666   87    13.76     0.13     0.17       0.2941       1.7934       8.6634       6.8839    1416.0049
 1959.1666   88     7.69    -2.33     0.00       0.3023       1.4864       8.6228       6.5983    1409.5487
 1959.1666   89    13.88    -2.96     0.00       0.3044       1.5352       8.8175       6.4457    1356.7102
 1959.1666   90    14.01     1.10     0.00       0.2971       1.5268       8.9663       6.1480    1300.8046
 1959.2500   91     7.41    -5.74     0.00       0.3309       1.7078       8.8472       7.7753    1283.2814
 1959.2500   92    18.38    -1.38     0.00       0.3019       1.6003       9.1670       7.5834    1230.8677
 1959.2500   93    15.83     0.90     0.00       0.2983       1.5953       9.2379       6.8181    1208.4638
 1959.2500   94     9.81    -4.39     0.00       0.2829       1.5078       9.1249       6.1206    1175.5338
 1959.2500   95    10.40    -2.80     0.00       0.2779       1.4825       9.1788       5.8922    1161.9804
 1959.2500   96    13.46     1.02     0.00       0.2825       1.5142       9.3119       5.6155    1171.7430
 1959.2500   97    14.36    -1.99     0.00       0.2884       1.5526       9.3438       5.0799    1177.4728
 1959.2500   98    12.81    -6.22     0.00       0.2903       1.5679       9.3063       4.6349    1169.2230
 1959.2500   99    12.90    -5.34     0.00       0.2962       1.6096       9.3420       4.4085    1166.0671
 1959.2500  100    19.23    -1.29     0.00       0.3203       1.7695       9.5350       4.1709    1194.6484
 1959.2500  101    15.77    -0.78     0.00       0.3280       1.8229       9.5217       3.6314    1211.1085
 1959.2500  102     5.63    -1.01     0.10       0.2949       1.9990       9.3464       3.1722    1192.0381
 1959.2500  103    17.87    -1.42     0.00       0.3125       1.7183       9.5650       3.1413    1206.2255
 1959.2500  104     7.84    -7.37     0.00       0.3121       1.7280       9.3515       2.7811    1181.1222
 1959.2500  105    13.78    -0.83     0.00       0.3251       1.8209       9.5210       2.7668    1195.4747
 1959.2500  106    24.47     4.04     0.00       0.3508       2.0082       9.7745       2.4965    1254.3941
 1959.2500  107    28.34     3.76     0.00       0.3755       2.1831       9.8648       2.2901    1330.3696
 1959.2500  108    15.00    -1.41     0.00       0.3773       2.1812       9.6367       2.1238    1352.9214
 1959.2500  109    20.86     1.08     0.00       0.3823       2.2041       9.7677       1.9918    1383.3131
 1959.2500  110    11.33    -5.02     0.00       0.3783       2.1751       9.5637       1.8815    1375.4746
 1959.2500  111    17.07    -2.11     0.00       0.3790       2.1771       9.6882       1.7918    1383.9394
 1959.2500  112    20.50     6.18     0.11       0.3796       2.7166       9.8398       1.7197    1401.6664
 1959.2500  113    14.93    -2.91     0.00       0.3808       2.1869       9.6760       1.6606    1399.8610
 1959.2500  114    18.77     2.08     0.00       0.3843       2.2072       9.7944       1.6144    1416.6635
 1959.2500  115    26.70     5.43     0.00       0.3933       2.2627       9.9683       1.5822    1452.9634
 1959.2500  116    23.39     7.83     0.00       0.4022       2.3161       9.9711       1.5616    1488.9696
 1959.2500  117    23.23     8.37     1.03       0.3722       3.3321       9.1154       2.9878    3580.9496
 1959.2500  118    11.19     5.92     0.14       0.3985       2.3835       8.8059       3.1504    2912.1649
 1959.2500  119    16.33     6.68     0.15       0.4159       1.6837       8.8561       3.4967    3009.5470
 1959.2500  120    16.00     3.28     0.00       0.4258       1.5442       9.0251       3.5661    2954.2497
 1959.3334  121    16.32    -2.00     0.00       0.5577       2.1108       9.1671      11.6385    2763.4683
 1959.3334  122    20.68     1.93     0.00       0.4638       1.8363       9.4559      10.1458    2703.8211
 1959.3334  123    26.00     8.22     0.00       0.4867       2.0327       9.7960       9.2155    2646.7326
 1959.3334  124    20.35     5.58     0.00       0.4657       2.0342       9.8294       7.6264    2454.7532
 1959.3334  125    17.82     2.30     0.00       0.4263       1.9401       9.8563       6.0421    2208.6200
 1959.3334  126    19.79     4.68     0.00       0.3917       1.8505       9.9901       4.9435    2005.8241
 1959.3334  127    18.41     5.53     0.00       0.3568       1.7387      10.0328       4.0392    1821.2444
 1959.3334  128    15.20     5.84     0.00       0.3247       1.6215      10.0111       3.2790    1656.6710
 1959.3334  129    13.77    -5.16     0.00       0.3183       1.6253       9.8969       2.6704    1534.4477
 1959.3334  130     9.73    -3.15     0.00       0.3301       1.7212       9.8272       2.2574    1462.2615
 1959.3334  131    16.31     2.88     0.00       0.3582       1.9128       9.9883       2.1322    1459.7103
 1959.3334  132    17.25     5.87     0.00       0.3872       2.1199      10.0247       2.0817    1475.1631
 1959.3334  133    16.13     2.12     0.00       0.4041       2.2707       9.9479       1.9947    1468.6854
 1959.3334  134    19.50     0.34     0.00       0.4123       2.3587       9.9632       1.9443    1465.1224
 1959.3334  135    21.40     5.64     0.00       0.4160       2.3868      10.0375       1.9393    1474.6079
 1959.3334  136    22.11     9.25     0.00       0.4229       2.4338      10.0844       1.9659    1494.6195
 1959.3334  137    17.29     9.44     0.00       0.5395       3.2491      10.0294       7.4017    1516.9235
 1959.3334  138    19.47     2.96     0.00       0.5200       3.1366      10.0169       6.4441    1509.7553
 1959.3334  139    21.57     4.30     0.00       0.5025       3.0439      10.0568       5.6531    1495.0459
 1959.3334  140    23.14     7.99     0.00       0.4871       2.9699      10.1028       5.0048    1475.8217
 1959.3334  141    26.29    11.27     0.00       0.4729       2.9106      10.1626       4.4677    1450.1706
 1959.3334  142    26.87     9.73     0.44       0.3307       2.2059      10.4360       4.5815    1677.9655
 1959.3334  143    20.28     4.54     1.06       0.6634       5.8506       9.4488      11.6894    5232.3157
 1959.3334  144     6.67     2.91     0.77       0.5250       2.8057       7.6598      12.2006    4548.0692
 1959.3334  145     8.91     3.70     0.08       0.6568       2.4027       7.8606      12.0605    4343.4775
 1959.3334  146    12.46     7.99     0.05       0.6611       2.1193       8.2730      11.8856    4280.2268
 1959.3334  147    16.33    10.04     0.00       0.6894       2.2973       8.8157      11.9362    4258.3561
 1959.3334  148    17.88    11.01     0.79       0.5540       1.7244       7.4045      12.9291    4626.4333
 1959.3334  149    26.07    10.16     0.00       0.7787       2.4882       8.4626      14.5212    4871.7996
 1959.3334  150    21.76     7.44     0.00       0.8209       2.7782       9.0617      14.6223    4787.5434
 1959.3334  151    22.83    10.02     0.00       0.8514       3.1171       9.6137      14.1219    4591.4730
 1959.4166  152    25.00    11.48     0.25       1.2323       4.5403       9.7478      37.4348    4648.5949
 1959.4166  153    19.07    10.20     0.66       0.7798       2.5061       8.6976      39.1517    5556.6180
 1959.4166  154    20.66     4.92     0.05       1.0315       3.5283       9.2928      32.2821    5213.4979
 1959.4166  155    24.16    10.27     0.02       1.0135       3.7687       9.8747      26.9634    4898.9466
 1959.4166  156    24.74    10.92     0.06       0.9655       3.9077      10.2403      21.9976    4476.2397
 1959.4166  157    23.97     7.56     0.00       0.8744       3.8312      10.4340      17.1341    3898.9496
 1959.4166  158    27.63    10.54     0.04       0.7759       3.6763      10.6725      13.1737    3348.2057
 1959.4166  159    22.08    10.86     0.41       0.7398       3.0752      10.4141      13.9972    3867.3109
 1959.4166  160    22.22     9.87     0.26       0.7757       3.1423      10.3765      13.8666    4084.6679
 1959.4166  161    19.85     6.96     0.46       0.9891       3.5916       9.9854      18.0870    5211.9023
 1959.4166  162    22.83     7.34     0.00       0.9190       3.6909      10.3712      15.1602    4555.4107
 1959.4166  163    23.36     6.83     0.00       0.8559       3.7743      10.5767      12.5055    3957.0057
 1959.4166  164    20.78    12.40     1.44       1.0944       3.2863       8.2003      27.5465    7520.4253
 1959.4166  165    21.52    10.13     0.08       1.3700       4.2421       8.9181      29.8445    7405.3270
 1959.4166  166    17.96     6.34     0.25       1.3353       4.1526       8.9068      30.2241    7038.0437
 1959.4166  167    14.37     7.11     0.26       1.2894       3.9680       8.7133      30.3394    6733.7126
 1959.4166  168    24.89    11.45     0.05       1.7434       6.0991       9.6603      60.1157    6667.5210
 1959.4166  169    20.15     6.95     0.13       1.5979       5.8685       9.8630      48.9018    6126.7084
 1959.4166  170    19.07     7.60     0.16       1.4346       5.4213      10.0029      40.0145    5612.1069
 1959.4166  171    17.49     6.14     0.22       1.2823       4.8288       9.9720      33.6811    5218.4254
 1959.4166  172    23.73    10.58     0.91       1.4124       4.4698       8.8213      47.5918    7443.6259
 1959.4166  173    21.77     7.23     0.27       1.6343       5.2205       8.9570      46.5692    7419.9939
 1959.4166  174    23.27    11.02     0.00       1.6714       5.7526       9.7034      42.7058    7101.5477
 1959.4166  175    21.16     9.05     0.00       1.5814       5.9516      10.1318      35.7992    6298.2899
 1959.4166  176    23.59     8.40     0.00       1.4327       5.9647      10.5282      28.3664    5383.7717
 1959.4166  177    25.54     8.26     0.00       1.2455       5.7090      10.7828      21.5208    4459.8228
 1959.4166  178    30.00    14.78     0.00       1.0883       5.4249      11.0086      16.4184    3770.2009
 1959.4166  179    32.68    15.05     0.43       1.1541       5.2805      11.0613      18.5277    4581.2926
 1959.4166  180    21.77     8.18     0.12       1.1530       5.5147      10.8668      16.6715    4271.3833
 1959.4166  181    24.27    11.56     0.00       1.0362       5.2993      10.9228      13.2942    3616.2022
 1959.5000  182    32.28    17.00     0.00       1.3562       7.4602      10.9762      26.4161    3135.9553
 1959.5000  183    32.83    17.29     0.15       1.0193       5.9024      10.7542      19.3248    2697.5694
 1959.5000  184    27.05    10.88     0.00       0.8443       5.1763      10.1419      13.9658    2149.7415
 1959.5000  185    29.01    12.47     0.00       0.6611       4.2767       9.3263       9.5707    1696.3992
 1959.5000  186    34.15    15.41     0.00       0.4770       3.1855       8.5361       6.2632    1280.4957
 1959.5000  187    36.56    19.30     0.00       0.4046       2.7463       8.0851       4.7727    1128.3123
 1959.5000  188    37.38    20.07     0.00       0.3959       2.6973       7.9440       4.1741    1136.3681
 1959.5000  189    38.62    15.34     0.10       0.3811       3.2634       7.7735       3.6225    1122.4239
 1959.5000  190    25.62     6.47     0.00       0.3534       2.4243       7.4687       3.0292    1064.9270
 1959.5000  191    32.55    13.99     0.00       0.3381       2.3266       7.4176       2.6288    1039.1093
 1959.5000  192    30.60    16.86     0.08       0.3247       2.2413       7.2691       2.3013    1015.4705
 1959.5000  193    32.21    18.75     1.63       4.6692      62.3186      11.1172      60.7755   22480.9170
 1959.5000  194    30.76    19.87     0.17       3.9528      46.5449      11.3155      65.0232   15486.3667
 1959.5000  195    25.67    15.79     1.77       4.3611      31.6877       8.4647     140.8449   19904.6564
 1959.5000  196    22.74    13.63     0.00       4.1020      24.9211       9.3390     140.0221   15180.4876
 1959.5000  197    28.03    12.50     0.22       4.0593      20.8339       9.9107     133.9386   14160.1372
 1959.5000  198    28.31    14.34     0.00       4.5256      22.5847      10.7176     168.5106   11967.2608
 1959.5000  199    26.14    13.63     0.32       4.0595      16.3863      10.7031     144.7489   11132.5419
 1959.5000  200    27.51    14.06     3.62       4.6375      14.1529       5.6839     223.9810   15393.3418
 1959.5000  201    27.14    14.18     0.06       5.0927      15.5542       6.4915     223.9840   15245.9073
 1959.5000  202    29.84    14.59     0.86       4.8822      14.7965       5.7722     227.3279   15368.2578
 1959.5000  203    28.82    13.52     0.14       5.2993      16.0473       6.3783     235.9258   15253.3221
 1959.5000  204    28.49    14.17     0.04       5.4130      16.5273       7.2542     240.0041   15079.2170
 1959.5000  205    27.21    16.01     0.07       5.5435      17.1976       7.9521     242.1116   14837.1935
 1959.5000  206    25.12    10.45     0.11       5.5631      17.6673       8.4969     237.2348   14266.0534
 1959.5000  207    22.82    11.72     0.00       5.5472      18.2809       9.0815     226.6278   13523.7336
 1959.5000  208    21.08    13.48     0.00       5.3922      18.4962       9.5463     206.6162   12679.2562
 1959.5000  209    22.36     8.10     0.00       5.1411      18.6585      10.0336     184.8780   11455.3726
 1959.5000  210    23.91    11.68     0.00       4.8303      18.6376      10.5053     162.7117   10222.7700
 1959.5000  211    29.12    16.19     0.00       4.4616      18.4484      11.0000     140.1029    8963.9211
 1959.5000  212    32.76    15.22     0.54       4.2103      15.3251      10.7135     158.0839    9900.2564
 1959.5834  213    29.61    14.85     0.17       5.1301      19.5224      10.9352     191.3468    9164.4013
 1959.5834  214    30.16    13.35     1.72       5.5965      16.3559       7.8440     319.0762   14201.2441
 1959.5834  215    27.63    14.54     1.53       5.6960      16.5500       5.7826     308.9775   14140.2912
 1959.5834  216    26.88    15.10     0.34       6.1923      17.9297       5.7837     311.5350   14021.8139
 1959.5834  217    27.60    15.67     1.72       6.0276      17.3916       5.6155     312.3130   13961.7109
 1959.5834  218    26.98    13.55     0.00       6.3860      18.4135       6.3335     315.8266   13775.1377
 1959.5834  219    25.70    12.71     0.07       6.3064      18.2168       6.8908     307.1426   13518.9235
 1959.5834  220    28.80    14.15     0.00       6.5174      19.0686       7.6646     315.9849   13402.9031
 1959.5834  221    26.20    10.43     0.00       6.4874      19.3870       8.2788     302.6720   13002.9750
 1959.5834  222    23.98    10.77     0.00       6.4528      19.8331       8.8113     289.3498   12481.2508
 1959.5834  223    28.22    12.71     0.00       6.5614      21.0120       9.4606     280.5226   12040.9226
 1959.5834  224    31.85    13.77     0.00       6.5975      22.2981      10.0966     265.4261   11415.7867
 1959.5834  225    32.04    13.68     0.00       6.3890      22.9399      10.5935     241.6315   10437.4814
 1959.5834  226    31.19    14.64     0.00       5.9634      22.7591      10.9703     212.4520    9263.1119
 1959.5834  227    28.19    12.40     0.00       5.3453      21.5980      11.1696     180.1981    7990.4366
 1959.5834  228    26.03    12.67     0.63       5.6899      18.5027      10.3610     239.8340   10192.7233
 1959.5834  229    25.15    11.91     0.00       5.6086      19.6455      10.7597     214.6382    9209.5095
 1959.5834  230    26.76    13.60     0.00       5.0624      19.0913      11.1189     167.0735    8140.3273
 1959.5834  231    28.13    15.17     0.00       4.5206      18.3516      11.3725     136.1104    6917.6275
 1959.5834  232    32.73    16.12     0.00       3.8091      16.6588      11.5788     106.0195    5526.6070
 1959.5834  233    35.10    16.62     0.00       3.1825      14.8294      11.6391      83.8694    4388.5681
 1959.5834  234    33.34    17.64     0.26       3.3660      19.0257      11.6510      90.5797    4689.4902
 1959.5834  235    28.21    14.05     0.08       2.8685      13.7723      11.4760      73.5228    3850.0673
 1959.5834  236    25.71    14.63     0.22       2.9643      17.1857      11.4739      76.5232    4089.2801
 1959.5834  237    25.18    14.32     0.07       2.5307      12.3747      11.3382      62.2025    3397.2377
 1959.5834  238    24.58    14.72     0.13       2.2610      11.1636      11.2695      53.9987    3018.5944
 1959.5834  239    26.01    11.71     0.05       1.8642       9.7570      10.9550      42.4944    2437.2071
 1959.5834  240    26.08    10.44     0.00       1.4694       8.1151      10.4604      33.0050    1958.2307
 1959.5834  241    26.45     9.40     0.00       1.1240       6.5224       9.7008      24.6862    1552.6667
 1959.5834  242    30.93    12.02     0.00       0.8482       5.1381       8.7060      18.2966    1198.6230
 1959.5834  243    33.28    12.22     0.54       1.7466      22.6616      10.8287      23.0036    1919.6038
 1959.6666  244    15.15     1.47     0.00       1.1191      10.3816      10.0633      22.2030    1253.5506
 1959.6666  245    22.73     3.57     0.00       0.9014       5.8726       9.8364      20.6079    1185.6836
 1959.6666  246    26.74     7.17     0.00       0.8456       4.8877       9.5136      19.0513    1150.2186
 1959.6666  247    20.29     8.00     0.00       0.7761       4.6013       8.9790      17.1567    1098.8754
 1959.6666  248    24.59    10.59     0.63       1.4707       6.9214      11.0805      27.5919    1814.4348
 1959.6666  249    26.50    15.62     1.59       6.3776      18.8024       9.7035     324.0176   12143.0719
 1959.6666  250    21.77     7.11     1.32       6.2104      18.0056       7.5582     319.9192   11905.2851
 1959.6666  251    24.11     8.70     0.00       6.2738      18.3677       8.4856     316.5230   11619.7979
 1959.6666  252    28.74    10.84     0.00       6.4372      19.6680       9.4821     305.7211   11373.5294
 1959.6666  253    31.92    10.22     0.00       6.4651      21.6261      10.3557     275.0093   10485.5204
 1959.6666  254    33.38    11.13     0.00       5.9341      22.2677      10.9987     223.0643    8787.8227
 1959.6666  255    26.05    10.09     0.00       5.1198      21.0325      11.1975     176.0694    7128.2691
 1959.6666  256    32.08    10.52     0.00       4.1737      18.8893      11.4562     131.8855    5450.1021
 1959.6666  257    25.29     7.50     0.00       3.3780      16.3614      11.3463     100.3476    4255.6572
 1959.6666  258    17.13     6.32     0.00       2.9074      14.8191      11.1350      82.7628    3582.9177
 1959.6666  259    18.22     0.02     0.00       2.4709      13.2599      10.9222      67.7066    2969.7022
 1959.6666  260    16.38     1.15     0.00       2.1204      11.9271      10.6762      56.1585    2487.8858
 1959.6666  261    20.31     2.09     0.00       1.7667      10.4203      10.3950      46.5706    2091.3170
 1959.6666  262    26.85     3.61     0.00       1.4433       8.7577      10.1453      37.7556    1729.9443
 1959.6666  263    25.79     6.64     0.00       1.1918       7.3932       9.7986      30.8649    1449.6270
 1959.6666  264    19.57     3.36     0.00       0.9927       6.2611       9.3490      25.4983    1220.8952
 1959.6666  265    21.89     5.09     0.21       0.8507       6.4877       9.7567      21.2642    1035.1278
 1959.6666  266    21.39    10.21     0.42       1.3054       8.5036      10.8567      32.4962    1641.7906
 1959.6666  267    22.64     4.85     0.01       1.1746       6.4915      10.4707      28.0795    1440.2181
 1959.6666  268    15.45     6.93     0.38       1.5186       8.9153      10.9468      40.4084    2101.9180
 1959.6666  269    20.23     7.65     0.65       3.3052      11.7469      10.8597     114.9127    5706.6399
 1959.6666  270    14.86     3.54     0.00       3.0645      11.6066      10.8450     104.0569    5078.3050
 1959.6666  271    14.79     4.90     0.00       2.9183      11.8704      10.9078      94.0477    4505.4775
 1959.6666  272    19.21     2.59     0.00       2.5190      11.1732      10.9163      75.6617    3637.5928
 1959.6666  273    14.97     4.19     0.11       2.3851      10.5421      10.8613      71.8893    3445.2948
 1959.7500  274    11.93     4.77     0.39       2.6433       9.8539      10.6994      98.3190    3894.3696
 1959.7500  275    10.91     2.11     0.00       2.4850       9.8471      10.6992      91.8278    3616.8805
 1959.7500  276    19.61     3.47     0.05       2.3393       9.9321      10.8447      80.9886    3240.5916
 1959.7500  277    13.13     6.74     0.48       2.5206       8.7241      10.4822     104.8052    4131.3565
 1959.7500  278    10.69     5.15     0.00       2.4326       8.8644      10.5356      95.8896    3796.4153
 1959.7500  279    12.26    -1.52     0.00       2.1924       8.5805      10.5484      80.5479    3223.4180
 1959.7500  280    15.34    -0.67     0.00       2.1868       9.8200      10.6369      84.0813    2684.3363
 1959.7500  281    19.16     5.52     0.00       1.9049       9.2065      10.7559      68.1543    2257.7100
 1959.7500  282    18.90     6.81     0.00       1.6278       8.3411      10.7062      54.8998    1884.5199
 1959.7500  283    18.24     0.60     0.00       1.4551       7.8182      10.4812      46.6609    1647.3429
 1959.7500  284    22.11     2.71     0.00       1.3549       7.6305      10.3554      41.4772    1503.0667
 1959.7500  285    18.56    10.45     0.37       1.6550       7.8388      10.7961      57.3352    2128.0411
 1959.7500  286    14.89     1.28     0.09       1.6747       7.9212      10.6028      57.3135    2180.7083
 1959.7500  287     9.48    -2.98     0.00       1.4309       7.1138      10.3918      46.5349    1827.9722
 1959.7500  288    11.88    -2.71     0.00       1.1776       6.1437      10.2977      36.4440    1482.9990
 1959.7500  289    17.19    -1.60     0.00       1.0838       5.9124      10.2250      32.1306    1347.6816
 1959.7500  290    19.56     1.62     0.05       1.0170       5.6920      10.1945      29.3306    1261.8083
 1959.7500  291    11.06     1.68     0.21       1.0613       6.7996      10.3481      32.0272    1423.8298
 1959.7500  292    10.56    -0.22     0.00       0.9583       5.0965      10.2052      27.7659    1281.5645
